iter	Passed	Remaining
421	2321	3179
422	2326	3173
423	2330	3166
424	2336	3160
425	2340	3154
426	2345	3147
427	2350	3140
428	2355	3134
429	2359	3128
430	2364	3121
431	2369	3115
432	2374	3109
433	2379	3103
434	2384	3097
435	2389	3090
436	2394	3085
437	2399	3078
438	2404	3072
439	2409	3067
440	2415	3061
441	2420	3055
442	2425	3050
443	2431	3044
444	2437	3040
445	2444	3036
446	2451	3032
447	2457	3027
448	2462	3021
449	2468	3016
450	2475	3012
451	2481	3007
452	2487	3004
453	2493	2998
454	2500	2995
455	2506	2990
456	2512	2984
457	2519	2981
458	2524	2975
459	2532	2972
460	2538	2968
461	2544	2963
462	2551	2959
463	2556	2953
464	2563	2948
465	2570	2945
466	2576	2940
467	2583	2936
468	2588	2930
469	2596	2927
470	2602	2922
471	2608	2917
472	2614	2912
473	2619	2907
474	2626	2902
475	2632	2898
476	2637	2891
477	2643	2887
478	2649	2882
479	2654	2875
480	2661	2871
481	2667	2866
482	2672	2860
483	2678	2855
484	2683	2849
485	2689	2844
486	2695	2839
487	2700	2833
488	2706	2828
489	2713	2823
490	2717	2817
491	2724	2813
492	2730	2808
493	2735	2801
494	2743	2798
495	2748	2792
496	2754	2787
497	2761	2783
498	2765	2776
499	2772	2772
500	2778	2767
501	2784	2762
502	2791	2758
503	2796	2752
504	2802	2747
505	2809	2743
506	2814	2737
507	2823	2734
508	2829	2729
509	2838	2727
510	2845	2722
511	2853	2719
512	2860	2715
513	2866	2710
514	2871	2704
515	2877	2698
516	2882	2692
517	2887	2686
518	2892	2680
519	2897	2675
520	2904	2670
521	2919	2673
522	2924	2667
523	2930	2662
524	2937	2657
525	2942	2651
526	2949	2647
527	2955	2642
528	2962	2637
529	2968	2632
530	2974	2626
531	2981	2622
532	2986	2616
533	2991	2610
534	2997	2605
535	3003	2599
536	3010	2595
537	3017	2590
538	3022	2584
539	3028	2580
540	3035	2575
541	3040	2569
542	3049	2566
543	3055	2560
544	3061	2555
545	3068	2551
546	3073	2545
547	3079	2539
548	3083	2533
549	3089	2527
550	3094	2521
551	3099	2515
552	3104	2509
553	3110	2504
554	3117	2499
555	3123	2493
556	3128	2488
557	3134	2482
558	3139	2476
559	3144	2470
560	3149	2464
561	3154	2458
562	3160	2453
563	3166	2447
564	3173	2443
565	3179	2438
566	3184	2432
567	3191	2427
568	3197	2422
569	3204	2417
570	3209	2411
