iter	Logloss
0	0.661297585
1	0.6354629908
2	0.6054710873
3	0.5863126754
4	0.5690066065
5	0.5543168178
6	0.5419987138
7	0.5303539175
8	0.5197144002
9	0.5104117018
10	0.5000053511
11	0.4912374897
12	0.4836051676
13	0.4718880196
14	0.4657228224
15	0.4597986114
16	0.4547514667
17	0.4504488882
18	0.4450613059
19	0.4408825743
20	0.4367596952
21	0.4333863141
22	0.4305544109
23	0.4277840865
24	0.424392184
25	0.4214326415
26	0.4187941914
27	0.4162834075
28	0.4140173853
29	0.4120583415
30	0.4104712042
31	0.4082253292
32	0.4057154888
33	0.4036623834
34	0.4016029218
35	0.3990170145
36	0.3975561146
37	0.3961281785
38	0.3945180304
39	0.3922680237
40	0.3892756823
41	0.38772271
42	0.3863155218
43	0.3850729351
44	0.383935643
45	0.3830233924
46	0.3814483881
47	0.3802797319
48	0.379418529
49	0.3776356106
50	0.3752560711
51	0.3739208649
52	0.3724110749
53	0.3715851793
54	0.3701406635
55	0.3693883468
56	0.3676753335
57	0.3666689885
58	0.3658409258
59	0.3644273943
60	0.3634961086
61	0.3625016459
62	0.3618337555
63	0.3610458413
64	0.3598597393
65	0.3589722126
66	0.3576338724
67	0.3570039781
68	0.3560618833
69	0.3552805035
70	0.3547204641
71	0.3534700407
72	0.352990495
73	0.3520974346
74	0.3512954312
75	0.3508238569
76	0.3502391354
77	0.349715647
78	0.3491620063
79	0.3484056859
80	0.3476139838
81	0.346708873
82	0.3459176225
83	0.3454014119
84	0.3446149668
85	0.34401487
86	0.3431682116
87	0.3427460103
88	0.3419984641
89	0.3412826659
90	0.3408974313
91	0.3405103991
92	0.3399872129
93	0.3395899395
94	0.3390441362
95	0.3383447217
96	0.3371986636
97	0.3367009161
98	0.3359689147
99	0.3356601381
100	0.3348814567
101	0.3340682531
102	0.33356279
103	0.333253739
104	0.332704252
105	0.3323618729
106	0.3319916431
107	0.3312609753
108	0.3306075309
109	0.3301703319
110	0.3297111931
111	0.3293119333
112	0.3288087919
113	0.3285970534
114	0.3282858614
115	0.3279309105
116	0.3275800409
117	0.326431255
118	0.3260424244
119	0.3255265911
120	0.3252293728
121	0.3246965167
122	0.3239902121
123	0.3236983709
124	0.3229732808
125	0.3225310439
126	0.3220215374
127	0.3214663623
128	0.3210507973
129	0.3207876833
130	0.3205657204
131	0.3201748753
132	0.3195224293
133	0.318661618
134	0.3180704804
135	0.3177577299
136	0.3173843777
137	0.3169858946
138	0.3165764816
139	0.316116084
140	0.3154832665
141	0.3152714313
142	0.3147376999
143	0.3142787416
144	0.3138318718
145	0.313235376
146	0.3128351253
147	0.3125382985
148	0.3122908562
149	0.3116937818
150	0.3111182412
151	0.3109053751
152	0.3106689924
153	0.3101514241
154	0.3101081737
155	0.3095919255
156	0.3092240709
157	0.3088561278
158	0.3085761897
159	0.3083248198
160	0.3079841596
161	0.3076306179
162	0.3071278393
163	0.3069365829
164	0.3061796097
165	0.3058750768
166	0.305586431
167	0.3053215578
168	0.3049800941
169	0.3047653329
170	0.304479725
171	0.3039861531
172	0.3032511303
173	0.302630128
174	0.3022891144
175	0.3021755631
176	0.3019584654
177	0.3016127741
178	0.3014717598
179	0.3010931211
180	0.3007630574
181	0.3005911721
182	0.3000931003
183	0.2997528795
184	0.2994518449
185	0.2990777986
186	0.2987979183
187	0.2982325417
188	0.2980443817
189	0.2978248795
190	0.2975122005
191	0.2973596098
192	0.2971051861
193	0.2969247127
194	0.2966863401
195	0.2964230773
196	0.2960947793
197	0.2956922299
198	0.2953503289
199	0.2951396541
200	0.2944790955
201	0.2941610703
202	0.2939589329
203	0.2936398096
204	0.2934476104
205	0.2932535555
206	0.2928563042
207	0.2924729224
208	0.2920874825
209	0.2918868265
210	0.2917536508
211	0.2912931418
212	0.2910740362
213	0.2909329246
214	0.2907559676
215	0.2902861067
216	0.2899288875
217	0.2896076298
218	0.2892662569
219	0.2889352943
220	0.2884752935
221	0.288234876
222	0.2876916681
223	0.2871644759
224	0.2868229553
225	0.2867148461
226	0.2864110068
227	0.2859352413
228	0.2857999553
229	0.2855835545
230	0.2851696354
231	0.284956613
232	0.28475106
233	0.2844565095
234	0.2841633035
235	0.2838239386
236	0.2836934012
237	0.2833694054
238	0.2830869638
239	0.2827767869
240	0.2825578306
241	0.2823023715
242	0.2820424395
243	0.2816867237
244	0.2815243052
245	0.2814040377
246	0.2811461393
247	0.2808298655
248	0.2805921809
249	0.2803051439
250	0.2800270375
251	0.2795339981
252	0.2794121379
253	0.2792163392
254	0.2789059347
255	0.2786081366
256	0.2785060717
257	0.2782409488
258	0.2779035496
259	0.2776855609
260	0.2773122251
261	0.277031576
262	0.2769309804
263	0.2767981893
264	0.2764915576
265	0.2761930345
266	0.2758713097
267	0.2756719996
268	0.2753896702
269	0.275194819
270	0.2749128282
271	0.2746418187
272	0.2744059272
273	0.2741421986
274	0.2738479089
275	0.2736477571
276	0.2734074287
277	0.2731885698
278	0.2730071691
279	0.2729093398
280	0.2726830996
281	0.2724707767
282	0.2723045482
283	0.2720823556
284	0.2718791496
285	0.2716058266
286	0.2713481384
287	0.2711045898
288	0.2709297108
289	0.2708370261
290	0.2705702391
291	0.2703534764
292	0.2701596931
293	0.2699563513
294	0.2698167157
295	0.2696028454
296	0.2694075536
297	0.2691006628
298	0.2689336757
299	0.2686104872
300	0.2683676258
301	0.2681824844
302	0.2678853783
303	0.2677233651
304	0.2675371821
305	0.2672799525
306	0.2671208256
307	0.2668024592
308	0.2666206908
309	0.2663487011
310	0.2661410773
311	0.2659948911
312	0.2658903309
313	0.2657671827
314	0.2654357578
315	0.2652093576
316	0.2649849837
317	0.2647368385
318	0.26455599
319	0.2643378744
320	0.2640884577
321	0.2638132917
322	0.2636162464
323	0.2634532175
324	0.2630060436
325	0.2627762369
326	0.2625537058
327	0.2623663558
328	0.2621881676
329	0.2620662304
330	0.2619431984
331	0.261750471
332	0.2615619083
333	0.2614701662
334	0.261251436
335	0.2610835902
336	0.2609341368
337	0.2607476792
338	0.2604802903
339	0.2602995659
340	0.2600478171
341	0.259833525
342	0.2595392597
343	0.2593005559
344	0.2591711516
345	0.2589318008
346	0.2587732528
347	0.2586152183
348	0.2584299151
349	0.2582135061
350	0.258125373
351	0.2579632917
352	0.2577481271
353	0.2576118396
354	0.2574625907
355	0.2573195304
356	0.2571404453
357	0.2569331849
358	0.2568117364
359	0.2566797038
360	0.2564793377
361	0.2563078859
362	0.2561762156
363	0.2560451427
364	0.2559625907
365	0.2557920429
366	0.2556482236
367	0.2554253437
368	0.2552757544
369	0.2551174583
370	0.2549755391
371	0.2547245806
372	0.2545745747
373	0.2542852311
374	0.2540924916
375	0.2539851118
376	0.2536210574
377	0.2534100451
378	0.2532509864
379	0.2531310938
380	0.2529807537
381	0.252866899
382	0.2526046062
383	0.2523954644
384	0.2520996667
385	0.2519604255
386	0.2518247851
387	0.2516140852
388	0.2512939797
389	0.251151493
390	0.2509792788
391	0.2508377521
392	0.2506197399
393	0.250441054
394	0.2502120474
395	0.2500800566
396	0.2498686425
397	0.2497302801
398	0.2495265024
399	0.2492511415
400	0.249001321
